name, url, language, country
Hacker Public Radio, http://hackerpublicradio.org/hpr_spx_rss.php, en-US, United States
postmarketOS, https://cast.postmarketos.org/feed.rss, en-US, Germany
0d - Zeroday, https://zeroday-podcast.de/feed/mp3/, de-DE, Germany
0d - Zeroday, https://0x0d.de/feed/mp3/, de-DE, Germany
Software Freedom Podcast (OPUS), http://fsfe.org/news/podcast-opus.en.rss, en-US, Germany
Software Freedom Podcast (MP3), http://fsfe.org/news/podcast.en.rss, en-US, Germany
Zeroday Podcast (stefan), https://podcasts.social/@zeroday.rss, de-DE, Germany
LPG Flash!, https://anchor.fm/s/430dae74/podcast/rss, it-IT, Italy
