name, url, language, country
American Dissident Voices, https://nationalvanguard.org/category/american-dissident-voices/feed/, en-US, United States
Radio 3Fourteen, https://redice.tv/rss/radio-3fourteen, en-US, United States
The National Archives - Podcast Series, https://www.nationalarchives.gov.uk/rss/podcasts.xml, en-UK, United Kingdom
Oracle Broadcasting Recent Shows, http://www.oraclebroadcasting.com/rss_recent.php, en-US, United States
Speak Free Radio, https://speakfreeradio.com/feed/, en-US, United States
