name, url, language, country
Feed of "MintApps Team", https://codeberg.org/MintApps.rss, en-US, Germany
Activity for TORCS - The Open Racing Car Simulator, https://sourceforge.net/p/torcs/activity/feed, en-US, Switzerland
Activity for Speed Dreams : an Open Motorsport Sim, https://sourceforge.net/p/speed-dreams/activity/feed, en-US, Worldwide
Activity for Ultimate Stunts, https://sourceforge.net/p/ultimatestunts/activity/feed, en-US, Worldwide
Activity for SuperTuxKart, https://sourceforge.net/p/supertuxkart/activity/feed, en-US, Worldwide
Recent changes to wiki, https://sourceforge.net/p/speed-dreams/wiki/feed.atom, en-US, Worldwide
Activity for TROPHY, https://sourceforge.net/p/trophy/activity/feed, en-US, France
