name, url, language, country
DESIGNER NOTES, http://www.designer-notes.com/feed/, en-US, United States
Kitsune Games, http://kitsunegames.com/feed.xml, en-US, Worldwide
Speed Dreams, https://mastodon.social/@speed_dreams_official.rss, en-US, Worldwide
Le Bottin des Jeux Linux, https://floss.social/@Le_bottin_des_jeux_linux.rss, fr-FR, France
GamingOnLinux, https://www.gamingonlinux.com/article_rss.php, en-US, Worldwide
Le Bottin des Jeux Linux / The Linux Games Book, http://www.lebottindesjeuxlinux.tuxfamily.org/en/feed/, fr-FR, France
Minetest, https://fosstodon.org/@Minetest.rss, en-US, Worldwide
