name, url, language, country
Crumina, https://crumina.net/feed/, en-US, Ukraine
Behance Featured Projects, https://www.behance.net/feeds/projects, en-US, United States
Dezeen, https://www.dezeen.com/feed/, en-US, Worldwide
designboom | architecture & design magazine, https://www.designboom.com/feed/, en-US, Worldwide
