name, url, language, country
Jerm Warfare, https://jermwarfare.com/feed, en-US, United States
Daily Stormer, https://dailystormer.in/feed/, en-US, United States
classless Kulla, https://www.classless.org/feed/atom/, de-DE, Germany
classless Kulla, https://www.classless.org/feed/atom/, en-US, Germany
Truthstream Media, https://truthstreammedia.com/feed/, en-US, United States
Justice for Germans, https://justice4germans.wordpress.com/feed/, en-US, United States
Voice of America, https://www.voanews.com/api/, en-US, United States
