name, url, language, country
denshi.live, https://denshi.live/feeds/videos.xml, en-US, United States
Luke's Videos, https://videos.lukesmith.xyz/feeds/videos.xml, en-US, United States
fair.tube, https://fair.tube/feeds/videos.xml, de-DE, Germany
Kockatoo Tube, https://tube.kockatoo.org/feeds/videos.xml, en-US, United States
sp-codes PeerTube, https://tube.sp-codes.de/feeds/videos.xml, de-DE, Germany
TILvids, https://tilvids.com/feeds/videos.xml, en-US, Worldwide
tchncs, https://tube.tchncs.de/feeds/videos.xml, en-US, Germany
Bastyon Video Server, https://peertube35.pocketnet.app/feeds/videos.xml, en-US, Worldwide
LinuxRocks PeerTube, https://peertube.linuxrocks.online/feeds/videos.xml, en-US, Worldwide
