name, url, language, country
MetaBrainz Blog, https://blog.metabrainz.org/feed/, en-US, Worldwide
MP3 NFO Database, https://nfodb.ru/rss.php, en-US, Worldwide
Tubesonix – The Future of Royalty Free Licensed Music, https://www.tubesonix.com/feed/, en-US, Worldwide
