name, url, language, country
sinit, https://git.2f30.org/sinit/atom.xml, en-US, Worldwide
xbattmon, https://git.2f30.org/xbattmon/atom.xml, en-US, Worldwide
go-bgp, https://git.2f30.org/go-bgp/atom.xml, en-US, Worldwide
fatbase, https://git.2f30.org/fatbase/atom.xml, en-US, Worldwide
