name, url, language, country
Pirate Solitaire Devlog - itch.io, https://victor-pernet.itch.io/pirate-solitaire/devlog.rss, en-US, Worldwide
Xonotic: The Free and Fast Arena Shooter, https://xonotic.org/index.xml, en-US, Worldwide
Speed Dreams, https://www.speed-dreams.net/en/feed/, en-US, Worldwide
Speed Dreams, https://www.speed-dreams.net/fr/feed/, fr-FR, Worldwide
SuperTuxKart, https://blog.supertuxkart.net/feeds/posts/default, en-US, Worldwide
Minetest, https://blog.minetest.net/feed.rss, en-US, Worldwide
